question_baseline_id,question_id,subset_baseline_id,code,relation_kind,reason_key,improvement_code,source_audit_ref
QUESTIONBASE-0.1,Q-002-03,SUBSET-0.2,F41.1,fact_conflict,wrong_subtype,,QSAUDIT-0.1 §4.2
QUESTIONBASE-0.1,Q-002-03,SUBSET-0.2,F41.2,fact_conflict,wrong_subtype,,QSAUDIT-0.1 §4.2
QUESTIONBASE-0.1,Q-003-01,SUBSET-0.2,G43.1,accepted_reference,,,QSAUDIT-0.1 §4.3
QUESTIONBASE-0.1,Q-003-01,SUBSET-0.2,G43.9,less_specific_supported,less_specific_than_documented,G43.1,QSAUDIT-0.1 §4.3
QUESTIONBASE-0.1,Q-003-01,SUBSET-0.2,G43.0,fact_conflict,wrong_subtype,,QSAUDIT-0.1 §4.3
QUESTIONBASE-0.1,Q-003-01,SUBSET-0.2,G43.2,fact_conflict,wrong_subtype_or_status,,QSAUDIT-0.1 §4.3
QUESTIONBASE-0.1,Q-003-02,SUBSET-0.2,E03.3,accepted_reference,,,QSAUDIT-0.1 §4.3
QUESTIONBASE-0.1,Q-003-02,SUBSET-0.2,E03.9,less_specific_supported,less_specific_than_documented,E03.3,QSAUDIT-0.1 §4.3
QUESTIONBASE-0.1,Q-003-02,SUBSET-0.2,E03.2,fact_conflict,wrong_etiology,,QSAUDIT-0.1 §4.3
QUESTIONBASE-0.1,Q-003-02,SUBSET-0.2,E03.4,fact_conflict,wrong_etiology,,QSAUDIT-0.1 §4.3
QUESTIONBASE-0.1,Q-003-03,SUBSET-0.2,F41.1,accepted_reference,,,QSAUDIT-0.1 §4.3
QUESTIONBASE-0.1,Q-003-03,SUBSET-0.2,F41.9,less_specific_supported,less_specific_than_documented,F41.1,QSAUDIT-0.1 §4.3
QUESTIONBASE-0.1,Q-003-03,SUBSET-0.2,F41.0,fact_conflict,wrong_subtype,,QSAUDIT-0.1 §4.3
QUESTIONBASE-0.1,Q-003-03,SUBSET-0.2,F41.2,fact_conflict,wrong_subtype,,QSAUDIT-0.1 §4.3
QUESTIONBASE-0.1,Q-004-01,SUBSET-0.2,E11.9,accepted_reference,,,QSAUDIT-0.1 §4.4
QUESTIONBASE-0.1,Q-004-01,SUBSET-0.2,E11.3,fact_conflict,unsupported_complication_or_causality,,QSAUDIT-0.1 §4.4
QUESTIONBASE-0.1,Q-004-01,SUBSET-0.2,E11.2,fact_conflict,unsupported_complication_or_causality,,QSAUDIT-0.1 §4.4
QUESTIONBASE-0.1,Q-004-01,SUBSET-0.2,E11.8,fact_conflict,unsupported_complication_or_causality,,QSAUDIT-0.1 §4.4
QUESTIONBASE-0.1,Q-004-02,SUBSET-0.2,H40.1,accepted_reference,,,QSAUDIT-0.1 §4.4
QUESTIONBASE-0.1,Q-004-02,SUBSET-0.2,H40.9,less_specific_supported,less_specific_than_documented,H40.1,QSAUDIT-0.1 §4.4
QUESTIONBASE-0.1,Q-004-02,SUBSET-0.2,H40.0,fact_conflict,wrong_subtype_or_status,,QSAUDIT-0.1 §4.4
QUESTIONBASE-0.1,Q-004-02,SUBSET-0.2,H40.2,fact_conflict,wrong_subtype_or_status,,QSAUDIT-0.1 §4.4
QUESTIONBASE-0.1,Q-004-03,SUBSET-0.2,F33.1,accepted_reference,,,QSAUDIT-0.1 §4.4
QUESTIONBASE-0.1,Q-004-03,SUBSET-0.2,F33.9,less_specific_supported,less_specific_than_documented,F33.1,QSAUDIT-0.1 §4.4
QUESTIONBASE-0.1,Q-004-03,SUBSET-0.2,F32.1,fact_conflict,wrong_episode_pattern,,QSAUDIT-0.1 §4.4
QUESTIONBASE-0.1,Q-004-03,SUBSET-0.2,F33.0,fact_conflict,wrong_stage_or_severity,,QSAUDIT-0.1 §4.4
QUESTIONBASE-0.1,Q-004-04,SUBSET-0.2,D50.0,accepted_reference,,,QSAUDIT-0.1 §4.4
QUESTIONBASE-0.1,Q-004-04,SUBSET-0.2,D50.9,less_specific_supported,less_specific_than_documented,D50.0,QSAUDIT-0.1 §4.4
QUESTIONBASE-0.1,Q-004-04,SUBSET-0.2,D50.8,fact_conflict,wrong_etiology,,QSAUDIT-0.1 §4.4
QUESTIONBASE-0.1,Q-004-04,SUBSET-0.2,D64.9,fact_conflict,wrong_condition_definition,,QSAUDIT-0.1 §4.4
QUESTIONBASE-0.1,Q-004-05,SUBSET-0.2,M54.5,accepted_reference,,,QSAUDIT-0.1 §4.4
QUESTIONBASE-0.1,Q-004-05,SUBSET-0.2,M54.2,fact_conflict,wrong_anatomical_or_symptom_pattern,,QSAUDIT-0.1 §4.4
QUESTIONBASE-0.1,Q-004-05,SUBSET-0.2,M54.3,fact_conflict,wrong_anatomical_or_symptom_pattern,,QSAUDIT-0.1 §4.4
QUESTIONBASE-0.1,Q-004-05,SUBSET-0.2,M54.6,fact_conflict,wrong_anatomical_or_symptom_pattern,,QSAUDIT-0.1 §4.4
QUESTIONBASE-0.1,Q-005-01,SUBSET-0.2,F20.0,accepted_reference,,,QSAUDIT-0.1 §4.5
QUESTIONBASE-0.1,Q-005-01,SUBSET-0.2,F20.9,less_specific_supported,less_specific_than_documented,F20.0,QSAUDIT-0.1 §4.5
QUESTIONBASE-0.1,Q-005-01,SUBSET-0.2,F20.1,fact_conflict,wrong_subtype,,QSAUDIT-0.1 §4.5
QUESTIONBASE-0.1,Q-005-01,SUBSET-0.2,F20.2,fact_conflict,wrong_subtype,,QSAUDIT-0.1 §4.5
QUESTIONBASE-0.1,Q-005-02,SUBSET-0.2,G24.0,accepted_reference,,,QSAUDIT-0.1 §4.5
QUESTIONBASE-0.1,Q-005-02,SUBSET-0.2,G24.9,less_specific_supported,less_specific_than_documented,G24.0,QSAUDIT-0.1 §4.5
QUESTIONBASE-0.1,Q-005-02,SUBSET-0.2,G25.4,fact_conflict,wrong_movement_disorder,,QSAUDIT-0.1 §4.5
QUESTIONBASE-0.1,Q-005-02,SUBSET-0.2,G25.1,fact_conflict,wrong_movement_disorder,,QSAUDIT-0.1 §4.5
QUESTIONBASE-0.1,Q-005-03,SUBSET-0.2,L40.0,accepted_reference,,,QSAUDIT-0.1 §4.5
QUESTIONBASE-0.1,Q-005-03,SUBSET-0.2,L40.9,less_specific_supported,less_specific_than_documented,L40.0,QSAUDIT-0.1 §4.5
QUESTIONBASE-0.1,Q-005-03,SUBSET-0.2,L40.4,fact_conflict,wrong_subtype,,QSAUDIT-0.1 §4.5
QUESTIONBASE-0.1,Q-005-03,SUBSET-0.2,L40.1,fact_conflict,wrong_subtype,,QSAUDIT-0.1 §4.5
QUESTIONBASE-0.1,Q-005-04,SUBSET-0.2,E78.2,accepted_reference,,,QSAUDIT-0.1 §4.5
QUESTIONBASE-0.1,Q-005-04,SUBSET-0.2,E78.5,less_specific_supported,less_specific_than_documented,E78.2,QSAUDIT-0.1 §4.5
QUESTIONBASE-0.1,Q-005-04,SUBSET-0.2,E78.0,fact_conflict,wrong_lipid_pattern,,QSAUDIT-0.1 §4.5
QUESTIONBASE-0.1,Q-005-04,SUBSET-0.2,E78.1,fact_conflict,wrong_lipid_pattern,,QSAUDIT-0.1 §4.5
QUESTIONBASE-0.1,Q-005-05,SUBSET-0.2,I10,accepted_reference,,,QSAUDIT-0.1 §4.5
QUESTIONBASE-0.1,Q-005-05,SUBSET-0.2,I11.9,fact_conflict,wrong_etiology_or_condition,,QSAUDIT-0.1 §4.5
QUESTIONBASE-0.1,Q-005-05,SUBSET-0.2,I15.9,fact_conflict,wrong_etiology_or_condition,,QSAUDIT-0.1 §4.5
QUESTIONBASE-0.1,Q-005-05,SUBSET-0.2,I95.9,fact_conflict,wrong_etiology_or_condition,,QSAUDIT-0.1 §4.5
QUESTIONBASE-0.1,Q-006-01,SUBSET-0.2,I25.1,accepted_reference,,,QSAUDIT-0.1 §4.6
QUESTIONBASE-0.1,Q-006-01,SUBSET-0.2,I25.9,less_specific_supported,less_specific_than_documented,I25.1,QSAUDIT-0.1 §4.6
QUESTIONBASE-0.1,Q-006-01,SUBSET-0.2,I25.2,fact_conflict,wrong_condition_state,,QSAUDIT-0.1 §4.6
QUESTIONBASE-0.1,Q-006-01,SUBSET-0.2,I25.5,fact_conflict,wrong_condition_state,,QSAUDIT-0.1 §4.6
QUESTIONBASE-0.1,Q-006-02,SUBSET-0.2,I69.3,accepted_reference,,,QSAUDIT-0.1 §4.6
QUESTIONBASE-0.1,Q-006-02,SUBSET-0.2,I69.4,less_specific_supported,less_specific_than_documented,I69.3,QSAUDIT-0.1 §4.6
QUESTIONBASE-0.1,Q-006-02,SUBSET-0.2,I63.9,temporal_context_conflict,wrong_temporal_state,,QSAUDIT-0.1 §4.6
QUESTIONBASE-0.1,Q-006-02,SUBSET-0.2,I69.1,fact_conflict,wrong_prior_event_type,,QSAUDIT-0.1 §4.6
QUESTIONBASE-0.1,Q-006-03,SUBSET-0.2,G40.3,accepted_reference,,,QSAUDIT-0.1 §4.6
QUESTIONBASE-0.1,Q-006-03,SUBSET-0.2,G40.9,less_specific_supported,less_specific_than_documented,G40.3,QSAUDIT-0.1 §4.6
QUESTIONBASE-0.1,Q-006-03,SUBSET-0.2,G40.0,fact_conflict,wrong_subtype,,QSAUDIT-0.1 §4.6
QUESTIONBASE-0.1,Q-006-03,SUBSET-0.2,G40.4,fact_conflict,wrong_subtype,,QSAUDIT-0.1 §4.6
QUESTIONBASE-0.1,Q-006-04,SUBSET-0.2,F03,accepted_reference,,,QSAUDIT-0.1 §4.6
QUESTIONBASE-0.1,Q-006-04,SUBSET-0.2,F01.9,fact_conflict,unsupported_causal_inference,,QSAUDIT-0.1 §4.6
QUESTIONBASE-0.1,Q-006-04,SUBSET-0.2,F05.1,fact_conflict,wrong_condition_state,,QSAUDIT-0.1 §4.6
QUESTIONBASE-0.1,Q-006-05,SUBSET-0.2,N40,accepted_reference,,,QSAUDIT-0.1 §4.6
QUESTIONBASE-0.1,Q-006-05,SUBSET-0.2,N41.0,fact_conflict,wrong_condition,,QSAUDIT-0.1 §4.6
QUESTIONBASE-0.1,Q-006-05,SUBSET-0.2,N42.9,fact_conflict,wrong_condition,,QSAUDIT-0.1 §4.6
QUESTIONBASE-0.1,Q-006-05,SUBSET-0.2,C61,fact_conflict,wrong_condition,,QSAUDIT-0.1 §4.6
QUESTIONBASE-0.1,Q-006-06,SUBSET-0.2,R40.2,accepted_reference,,,QSAUDIT-0.1 §4.6
QUESTIONBASE-0.1,Q-006-06,SUBSET-0.2,R40.1,fact_conflict,wrong_consciousness_state,,QSAUDIT-0.1 §4.6
QUESTIONBASE-0.1,Q-006-06,SUBSET-0.2,R55,fact_conflict,wrong_consciousness_state,,QSAUDIT-0.1 §4.6
QUESTIONBASE-0.1,Q-006-06,SUBSET-0.2,G40.9,fact_conflict,unsupported_causal_inference,,QSAUDIT-0.1 §4.6
