question_baseline_id,question_id,option_id,option_kind,subset_baseline_id,code,canonical_position
QUESTIONBASE-0.1,Q-003-01,Q-003-01-O03,code,SUBSET-0.2,G43.0,3
QUESTIONBASE-0.1,Q-003-01,Q-003-01-O04,code,SUBSET-0.2,G43.2,4
QUESTIONBASE-0.1,Q-003-01,Q-003-01-O05,none_of_above,,,5
QUESTIONBASE-0.1,Q-003-02,Q-003-02-O01,code,SUBSET-0.2,E03.3,1
QUESTIONBASE-0.1,Q-003-02,Q-003-02-O02,code,SUBSET-0.2,E03.9,2
QUESTIONBASE-0.1,Q-003-02,Q-003-02-O03,code,SUBSET-0.2,E03.2,3
QUESTIONBASE-0.1,Q-003-02,Q-003-02-O04,code,SUBSET-0.2,E03.4,4
QUESTIONBASE-0.1,Q-003-02,Q-003-02-O05,none_of_above,,,5
QUESTIONBASE-0.1,Q-003-03,Q-003-03-O01,code,SUBSET-0.2,F41.1,1
QUESTIONBASE-0.1,Q-003-03,Q-003-03-O02,code,SUBSET-0.2,F41.9,2
QUESTIONBASE-0.1,Q-003-03,Q-003-03-O03,code,SUBSET-0.2,F41.0,3
QUESTIONBASE-0.1,Q-003-03,Q-003-03-O04,code,SUBSET-0.2,F41.2,4
QUESTIONBASE-0.1,Q-003-03,Q-003-03-O05,none_of_above,,,5
QUESTIONBASE-0.1,Q-004-01,Q-004-01-O01,code,SUBSET-0.2,E11.9,1
QUESTIONBASE-0.1,Q-004-01,Q-004-01-O02,code,SUBSET-0.2,E11.3,2
QUESTIONBASE-0.1,Q-004-01,Q-004-01-O03,code,SUBSET-0.2,E11.2,3
QUESTIONBASE-0.1,Q-004-01,Q-004-01-O04,code,SUBSET-0.2,E11.8,4
QUESTIONBASE-0.1,Q-004-01,Q-004-01-O05,none_of_above,,,5
QUESTIONBASE-0.1,Q-004-02,Q-004-02-O01,code,SUBSET-0.2,H40.1,1
QUESTIONBASE-0.1,Q-004-02,Q-004-02-O02,code,SUBSET-0.2,H40.9,2
QUESTIONBASE-0.1,Q-004-02,Q-004-02-O03,code,SUBSET-0.2,H40.0,3
QUESTIONBASE-0.1,Q-004-02,Q-004-02-O04,code,SUBSET-0.2,H40.2,4
QUESTIONBASE-0.1,Q-004-02,Q-004-02-O05,none_of_above,,,5
QUESTIONBASE-0.1,Q-004-03,Q-004-03-O01,code,SUBSET-0.2,F33.1,1
QUESTIONBASE-0.1,Q-004-03,Q-004-03-O02,code,SUBSET-0.2,F33.9,2
QUESTIONBASE-0.1,Q-004-03,Q-004-03-O03,code,SUBSET-0.2,F32.1,3
QUESTIONBASE-0.1,Q-004-03,Q-004-03-O04,code,SUBSET-0.2,F33.0,4
QUESTIONBASE-0.1,Q-004-03,Q-004-03-O05,none_of_above,,,5
QUESTIONBASE-0.1,Q-004-04,Q-004-04-O01,code,SUBSET-0.2,D50.0,1
QUESTIONBASE-0.1,Q-004-04,Q-004-04-O02,code,SUBSET-0.2,D50.9,2
QUESTIONBASE-0.1,Q-004-04,Q-004-04-O03,code,SUBSET-0.2,D50.8,3
QUESTIONBASE-0.1,Q-004-04,Q-004-04-O04,code,SUBSET-0.2,D64.9,4
QUESTIONBASE-0.1,Q-004-04,Q-004-04-O05,none_of_above,,,5
QUESTIONBASE-0.1,Q-004-05,Q-004-05-O01,code,SUBSET-0.2,M54.2,1
QUESTIONBASE-0.1,Q-004-05,Q-004-05-O02,code,SUBSET-0.2,M54.3,2
QUESTIONBASE-0.1,Q-004-05,Q-004-05-O03,code,SUBSET-0.2,M54.6,3
QUESTIONBASE-0.1,Q-004-05,Q-004-05-O04,none_of_above,,,4
QUESTIONBASE-0.1,Q-005-01,Q-005-01-O01,code,SUBSET-0.2,F20.0,1
QUESTIONBASE-0.1,Q-005-01,Q-005-01-O02,code,SUBSET-0.2,F20.9,2
QUESTIONBASE-0.1,Q-005-01,Q-005-01-O03,code,SUBSET-0.2,F20.1,3
QUESTIONBASE-0.1,Q-005-01,Q-005-01-O04,code,SUBSET-0.2,F20.2,4
QUESTIONBASE-0.1,Q-005-01,Q-005-01-O05,none_of_above,,,5
QUESTIONBASE-0.1,Q-005-02,Q-005-02-O01,code,SUBSET-0.2,G24.0,1
QUESTIONBASE-0.1,Q-005-02,Q-005-02-O02,code,SUBSET-0.2,G24.9,2
QUESTIONBASE-0.1,Q-005-02,Q-005-02-O03,code,SUBSET-0.2,G25.4,3
QUESTIONBASE-0.1,Q-005-02,Q-005-02-O04,code,SUBSET-0.2,G25.1,4
QUESTIONBASE-0.1,Q-005-02,Q-005-02-O05,none_of_above,,,5
QUESTIONBASE-0.1,Q-005-03,Q-005-03-O01,code,SUBSET-0.2,L40.0,1
QUESTIONBASE-0.1,Q-005-03,Q-005-03-O02,code,SUBSET-0.2,L40.9,2
QUESTIONBASE-0.1,Q-005-03,Q-005-03-O03,code,SUBSET-0.2,L40.4,3
QUESTIONBASE-0.1,Q-005-03,Q-005-03-O04,code,SUBSET-0.2,L40.1,4
QUESTIONBASE-0.1,Q-005-03,Q-005-03-O05,none_of_above,,,5
QUESTIONBASE-0.1,Q-005-04,Q-005-04-O01,code,SUBSET-0.2,E78.2,1
QUESTIONBASE-0.1,Q-005-04,Q-005-04-O02,code,SUBSET-0.2,E78.5,2
QUESTIONBASE-0.1,Q-005-04,Q-005-04-O03,code,SUBSET-0.2,E78.0,3
QUESTIONBASE-0.1,Q-005-04,Q-005-04-O04,code,SUBSET-0.2,E78.1,4
QUESTIONBASE-0.1,Q-005-04,Q-005-04-O05,none_of_above,,,5
QUESTIONBASE-0.1,Q-005-05,Q-005-05-O01,code,SUBSET-0.2,I11.9,1
QUESTIONBASE-0.1,Q-005-05,Q-005-05-O02,code,SUBSET-0.2,I15.9,2
QUESTIONBASE-0.1,Q-005-05,Q-005-05-O03,code,SUBSET-0.2,I95.9,3
QUESTIONBASE-0.1,Q-005-05,Q-005-05-O04,none_of_above,,,4
QUESTIONBASE-0.1,Q-006-01,Q-006-01-O01,code,SUBSET-0.2,I25.1,1
QUESTIONBASE-0.1,Q-006-01,Q-006-01-O02,code,SUBSET-0.2,I25.9,2
QUESTIONBASE-0.1,Q-006-01,Q-006-01-O03,code,SUBSET-0.2,I25.2,3
QUESTIONBASE-0.1,Q-006-01,Q-006-01-O04,code,SUBSET-0.2,I25.5,4
QUESTIONBASE-0.1,Q-006-01,Q-006-01-O05,none_of_above,,,5
QUESTIONBASE-0.1,Q-006-02,Q-006-02-O01,code,SUBSET-0.2,I69.3,1
QUESTIONBASE-0.1,Q-006-02,Q-006-02-O02,code,SUBSET-0.2,I69.4,2
QUESTIONBASE-0.1,Q-006-02,Q-006-02-O03,code,SUBSET-0.2,I63.9,3
QUESTIONBASE-0.1,Q-006-02,Q-006-02-O04,code,SUBSET-0.2,I69.1,4
QUESTIONBASE-0.1,Q-006-02,Q-006-02-O05,none_of_above,,,5
QUESTIONBASE-0.1,Q-006-03,Q-006-03-O01,code,SUBSET-0.2,G40.3,1
QUESTIONBASE-0.1,Q-006-03,Q-006-03-O02,code,SUBSET-0.2,G40.9,2
QUESTIONBASE-0.1,Q-006-03,Q-006-03-O03,code,SUBSET-0.2,G40.0,3
QUESTIONBASE-0.1,Q-006-03,Q-006-03-O04,code,SUBSET-0.2,G40.4,4
QUESTIONBASE-0.1,Q-006-03,Q-006-03-O05,none_of_above,,,5
QUESTIONBASE-0.1,Q-006-04,Q-006-04-O01,code,SUBSET-0.2,F03,1
QUESTIONBASE-0.1,Q-006-04,Q-006-04-O02,code,SUBSET-0.2,F01.9,2
QUESTIONBASE-0.1,Q-006-04,Q-006-04-O03,code,SUBSET-0.2,F05.1,3
QUESTIONBASE-0.1,Q-006-04,Q-006-04-O04,none_of_above,,,4
QUESTIONBASE-0.1,Q-006-05,Q-006-05-O01,code,SUBSET-0.2,N40,1
QUESTIONBASE-0.1,Q-006-05,Q-006-05-O02,code,SUBSET-0.2,N41.0,2
QUESTIONBASE-0.1,Q-006-05,Q-006-05-O03,code,SUBSET-0.2,N42.9,3
QUESTIONBASE-0.1,Q-006-05,Q-006-05-O04,code,SUBSET-0.2,C61,4
QUESTIONBASE-0.1,Q-006-05,Q-006-05-O05,none_of_above,,,5
QUESTIONBASE-0.1,Q-006-06,Q-006-06-O01,code,SUBSET-0.2,R40.2,1
QUESTIONBASE-0.1,Q-006-06,Q-006-06-O02,code,SUBSET-0.2,R40.1,2
QUESTIONBASE-0.1,Q-006-06,Q-006-06-O03,code,SUBSET-0.2,R55,3
QUESTIONBASE-0.1,Q-006-06,Q-006-06-O04,code,SUBSET-0.2,G40.9,4
QUESTIONBASE-0.1,Q-006-06,Q-006-06-O05,none_of_above,,,5
