reference_response_baseline_id,rc_id,question_baseline_id,question_id,response_kind,submitted_code,expected_evaluation_status,expected_class,expected_determining_rule,expected_pattern_id,expected_criterion,expected_improvement_code,required_explanation_elements,source_ref,legacy_rc_id,legacy_case_id,provenance_status
RCBASE-0.3,RC-L-002-01-C01,QUESTIONBASE-0.1,Q-002-01,code,I48.0,classified,correct,RULE-CORRECT-01,,accepted_response,,accepted_code,QSAUDIT-0.1 §4.2,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-002-01-C02,QUESTIONBASE-0.1,Q-002-01,code,I48.9,classified,suboptimal,RULE-REL-SPEC-01,,supported_specificity_not_used,I48.0,submitted_code|improvement_code|supported_detail,QSAUDIT-0.1 §4.2,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-002-01-C03,QUESTIONBASE-0.1,Q-002-01,code,I48.1,classified,incorrect,RULE-REL-HARD-01,,documented_fact_conflict,,submitted_code|reason_key|conflicting_fact,QSAUDIT-0.1 §4.2,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-002-01-C04,QUESTIONBASE-0.1,Q-002-01,code,I48.3,classified,incorrect,RULE-REL-HARD-01,,documented_fact_conflict,,submitted_code|reason_key|conflicting_fact,QSAUDIT-0.1 §4.2,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-002-01-NOA,QUESTIONBASE-0.1,Q-002-01,none_of_above,,classified,incorrect,RULE-NOA-01,,displayed_accepted_response_exists,,displayed_accepted_response_exists|reference_code,QSAUDIT-0.1 §4.2; RULEBASE-0.2 §5.6,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-002-02-C01,QUESTIONBASE-0.1,Q-002-02,code,N18.3,classified,correct,RULE-CORRECT-01,,accepted_response,,accepted_code,QSAUDIT-0.1 §4.2,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-002-02-C02,QUESTIONBASE-0.1,Q-002-02,code,N18.9,classified,suboptimal,RULE-REL-SPEC-01,,supported_specificity_not_used,N18.3,submitted_code|improvement_code|supported_detail,QSAUDIT-0.1 §4.2,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-002-02-C03,QUESTIONBASE-0.1,Q-002-02,code,N18.2,classified,incorrect,RULE-REL-HARD-01,,documented_fact_conflict,,submitted_code|reason_key|conflicting_fact,QSAUDIT-0.1 §4.2,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-002-02-C04,QUESTIONBASE-0.1,Q-002-02,code,N18.4,classified,incorrect,RULE-REL-HARD-01,,documented_fact_conflict,,submitted_code|reason_key|conflicting_fact,QSAUDIT-0.1 §4.2,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-002-02-NOA,QUESTIONBASE-0.1,Q-002-02,none_of_above,,classified,incorrect,RULE-NOA-01,,displayed_accepted_response_exists,,displayed_accepted_response_exists|reference_code,QSAUDIT-0.1 §4.2; RULEBASE-0.2 §5.6,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-002-03-C01,QUESTIONBASE-0.1,Q-002-03,code,F41.0,classified,correct,RULE-CORRECT-01,,accepted_response,,accepted_code,QSAUDIT-0.1 §4.2,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-002-03-C02,QUESTIONBASE-0.1,Q-002-03,code,F41.9,classified,suboptimal,RULE-REL-SPEC-01,,supported_specificity_not_used,F41.0,submitted_code|improvement_code|supported_detail,QSAUDIT-0.1 §4.2,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-002-03-C03,QUESTIONBASE-0.1,Q-002-03,code,F41.1,classified,incorrect,RULE-REL-HARD-01,,documented_fact_conflict,,submitted_code|reason_key|conflicting_fact,QSAUDIT-0.1 §4.2,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-002-03-C04,QUESTIONBASE-0.1,Q-002-03,code,F41.2,classified,incorrect,RULE-REL-HARD-01,,documented_fact_conflict,,submitted_code|reason_key|conflicting_fact,QSAUDIT-0.1 §4.2,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-002-03-NOA,QUESTIONBASE-0.1,Q-002-03,none_of_above,,classified,incorrect,RULE-NOA-01,,displayed_accepted_response_exists,,displayed_accepted_response_exists|reference_code,QSAUDIT-0.1 §4.2; RULEBASE-0.2 §5.6,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-003-01-C01,QUESTIONBASE-0.1,Q-003-01,code,G43.1,classified,correct,RULE-CORRECT-01,,accepted_response,,accepted_code,QSAUDIT-0.1 §4.3,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-003-01-C02,QUESTIONBASE-0.1,Q-003-01,code,G43.9,classified,suboptimal,RULE-REL-SPEC-01,,supported_specificity_not_used,G43.1,submitted_code|improvement_code|supported_detail,QSAUDIT-0.1 §4.3,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-003-01-C03,QUESTIONBASE-0.1,Q-003-01,code,G43.0,classified,incorrect,RULE-REL-HARD-01,,documented_fact_conflict,,submitted_code|reason_key|conflicting_fact,QSAUDIT-0.1 §4.3,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-003-01-C04,QUESTIONBASE-0.1,Q-003-01,code,G43.2,classified,incorrect,RULE-REL-HARD-01,,documented_fact_conflict,,submitted_code|reason_key|conflicting_fact,QSAUDIT-0.1 §4.3,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-003-01-NOA,QUESTIONBASE-0.1,Q-003-01,none_of_above,,classified,incorrect,RULE-NOA-01,,displayed_accepted_response_exists,,displayed_accepted_response_exists|reference_code,QSAUDIT-0.1 §4.3; RULEBASE-0.2 §5.6,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-003-02-C01,QUESTIONBASE-0.1,Q-003-02,code,E03.3,classified,correct,RULE-CORRECT-01,,accepted_response,,accepted_code,QSAUDIT-0.1 §4.3,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-003-02-C02,QUESTIONBASE-0.1,Q-003-02,code,E03.9,classified,suboptimal,RULE-REL-SPEC-01,,supported_specificity_not_used,E03.3,submitted_code|improvement_code|supported_detail,QSAUDIT-0.1 §4.3,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-003-02-C03,QUESTIONBASE-0.1,Q-003-02,code,E03.2,classified,incorrect,RULE-REL-HARD-01,,documented_fact_conflict,,submitted_code|reason_key|conflicting_fact,QSAUDIT-0.1 §4.3,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-003-02-C04,QUESTIONBASE-0.1,Q-003-02,code,E03.4,classified,incorrect,RULE-REL-HARD-01,,documented_fact_conflict,,submitted_code|reason_key|conflicting_fact,QSAUDIT-0.1 §4.3,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-003-02-NOA,QUESTIONBASE-0.1,Q-003-02,none_of_above,,classified,incorrect,RULE-NOA-01,,displayed_accepted_response_exists,,displayed_accepted_response_exists|reference_code,QSAUDIT-0.1 §4.3; RULEBASE-0.2 §5.6,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-003-03-C01,QUESTIONBASE-0.1,Q-003-03,code,F41.1,classified,correct,RULE-CORRECT-01,,accepted_response,,accepted_code,QSAUDIT-0.1 §4.3,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-003-03-C02,QUESTIONBASE-0.1,Q-003-03,code,F41.9,classified,suboptimal,RULE-REL-SPEC-01,,supported_specificity_not_used,F41.1,submitted_code|improvement_code|supported_detail,QSAUDIT-0.1 §4.3,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-003-03-C03,QUESTIONBASE-0.1,Q-003-03,code,F41.0,classified,incorrect,RULE-REL-HARD-01,,documented_fact_conflict,,submitted_code|reason_key|conflicting_fact,QSAUDIT-0.1 §4.3,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-003-03-C04,QUESTIONBASE-0.1,Q-003-03,code,F41.2,classified,incorrect,RULE-REL-HARD-01,,documented_fact_conflict,,submitted_code|reason_key|conflicting_fact,QSAUDIT-0.1 §4.3,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-003-03-NOA,QUESTIONBASE-0.1,Q-003-03,none_of_above,,classified,incorrect,RULE-NOA-01,,displayed_accepted_response_exists,,displayed_accepted_response_exists|reference_code,QSAUDIT-0.1 §4.3; RULEBASE-0.2 §5.6,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-004-01-C01,QUESTIONBASE-0.1,Q-004-01,code,E11.9,classified,correct,RULE-CORRECT-01,,accepted_response,,accepted_code,QSAUDIT-0.1 §4.4,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-004-01-C02,QUESTIONBASE-0.1,Q-004-01,code,E11.3,classified,incorrect,RULE-REL-HARD-01,,documented_fact_conflict,,submitted_code|reason_key|conflicting_fact,QSAUDIT-0.1 §4.4,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-004-01-C03,QUESTIONBASE-0.1,Q-004-01,code,E11.2,classified,incorrect,RULE-REL-HARD-01,,documented_fact_conflict,,submitted_code|reason_key|conflicting_fact,QSAUDIT-0.1 §4.4,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-004-01-C04,QUESTIONBASE-0.1,Q-004-01,code,E11.8,classified,incorrect,RULE-REL-HARD-01,,documented_fact_conflict,,submitted_code|reason_key|conflicting_fact,QSAUDIT-0.1 §4.4,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-004-01-NOA,QUESTIONBASE-0.1,Q-004-01,none_of_above,,classified,incorrect,RULE-NOA-01,,displayed_accepted_response_exists,,displayed_accepted_response_exists|reference_code,QSAUDIT-0.1 §4.4; RULEBASE-0.2 §5.6,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-004-02-C01,QUESTIONBASE-0.1,Q-004-02,code,H40.1,classified,correct,RULE-CORRECT-01,,accepted_response,,accepted_code,QSAUDIT-0.1 §4.4,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-004-02-C02,QUESTIONBASE-0.1,Q-004-02,code,H40.9,classified,suboptimal,RULE-REL-SPEC-01,,supported_specificity_not_used,H40.1,submitted_code|improvement_code|supported_detail,QSAUDIT-0.1 §4.4,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-004-02-C03,QUESTIONBASE-0.1,Q-004-02,code,H40.0,classified,incorrect,RULE-REL-HARD-01,,documented_fact_conflict,,submitted_code|reason_key|conflicting_fact,QSAUDIT-0.1 §4.4,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-004-02-C04,QUESTIONBASE-0.1,Q-004-02,code,H40.2,classified,incorrect,RULE-REL-HARD-01,,documented_fact_conflict,,submitted_code|reason_key|conflicting_fact,QSAUDIT-0.1 §4.4,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-004-02-NOA,QUESTIONBASE-0.1,Q-004-02,none_of_above,,classified,incorrect,RULE-NOA-01,,displayed_accepted_response_exists,,displayed_accepted_response_exists|reference_code,QSAUDIT-0.1 §4.4; RULEBASE-0.2 §5.6,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-004-03-C01,QUESTIONBASE-0.1,Q-004-03,code,F33.1,classified,correct,RULE-CORRECT-01,,accepted_response,,accepted_code,QSAUDIT-0.1 §4.4,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-004-03-C02,QUESTIONBASE-0.1,Q-004-03,code,F33.9,classified,suboptimal,RULE-REL-SPEC-01,,supported_specificity_not_used,F33.1,submitted_code|improvement_code|supported_detail,QSAUDIT-0.1 §4.4,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-004-03-C03,QUESTIONBASE-0.1,Q-004-03,code,F32.1,classified,incorrect,RULE-REL-HARD-01,,documented_fact_conflict,,submitted_code|reason_key|conflicting_fact,QSAUDIT-0.1 §4.4,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-004-03-C04,QUESTIONBASE-0.1,Q-004-03,code,F33.0,classified,incorrect,RULE-REL-HARD-01,,documented_fact_conflict,,submitted_code|reason_key|conflicting_fact,QSAUDIT-0.1 §4.4,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-004-03-NOA,QUESTIONBASE-0.1,Q-004-03,none_of_above,,classified,incorrect,RULE-NOA-01,,displayed_accepted_response_exists,,displayed_accepted_response_exists|reference_code,QSAUDIT-0.1 §4.4; RULEBASE-0.2 §5.6,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-004-04-C01,QUESTIONBASE-0.1,Q-004-04,code,D50.0,classified,correct,RULE-CORRECT-01,,accepted_response,,accepted_code,QSAUDIT-0.1 §4.4,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-004-04-C02,QUESTIONBASE-0.1,Q-004-04,code,D50.9,classified,suboptimal,RULE-REL-SPEC-01,,supported_specificity_not_used,D50.0,submitted_code|improvement_code|supported_detail,QSAUDIT-0.1 §4.4,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-004-04-C03,QUESTIONBASE-0.1,Q-004-04,code,D50.8,classified,incorrect,RULE-REL-HARD-01,,documented_fact_conflict,,submitted_code|reason_key|conflicting_fact,QSAUDIT-0.1 §4.4,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-004-04-C04,QUESTIONBASE-0.1,Q-004-04,code,D64.9,classified,incorrect,RULE-REL-HARD-01,,documented_fact_conflict,,submitted_code|reason_key|conflicting_fact,QSAUDIT-0.1 §4.4,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-004-04-NOA,QUESTIONBASE-0.1,Q-004-04,none_of_above,,classified,incorrect,RULE-NOA-01,,displayed_accepted_response_exists,,displayed_accepted_response_exists|reference_code,QSAUDIT-0.1 §4.4; RULEBASE-0.2 §5.6,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-004-05-C01,QUESTIONBASE-0.1,Q-004-05,code,M54.5,classified,correct,RULE-CORRECT-01,,accepted_response,,accepted_code,QSAUDIT-0.1 §4.4,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-004-05-C02,QUESTIONBASE-0.1,Q-004-05,code,M54.2,classified,incorrect,RULE-REL-HARD-01,,documented_fact_conflict,,submitted_code|reason_key|conflicting_fact,QSAUDIT-0.1 §4.4,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-004-05-C03,QUESTIONBASE-0.1,Q-004-05,code,M54.3,classified,incorrect,RULE-REL-HARD-01,,documented_fact_conflict,,submitted_code|reason_key|conflicting_fact,QSAUDIT-0.1 §4.4,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-004-05-C04,QUESTIONBASE-0.1,Q-004-05,code,M54.6,classified,incorrect,RULE-REL-HARD-01,,documented_fact_conflict,,submitted_code|reason_key|conflicting_fact,QSAUDIT-0.1 §4.4,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-004-05-NOA,QUESTIONBASE-0.1,Q-004-05,none_of_above,,classified,correct,RULE-NOA-01,,no_displayed_accepted_response,,displayed_accepted_response_exists|reference_code,QSAUDIT-0.1 §4.4; RULEBASE-0.2 §5.6,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-005-01-C01,QUESTIONBASE-0.1,Q-005-01,code,F20.0,classified,correct,RULE-CORRECT-01,,accepted_response,,accepted_code,QSAUDIT-0.1 §4.5,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-005-01-C02,QUESTIONBASE-0.1,Q-005-01,code,F20.9,classified,suboptimal,RULE-REL-SPEC-01,,supported_specificity_not_used,F20.0,submitted_code|improvement_code|supported_detail,QSAUDIT-0.1 §4.5,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-005-01-C03,QUESTIONBASE-0.1,Q-005-01,code,F20.1,classified,incorrect,RULE-REL-HARD-01,,documented_fact_conflict,,submitted_code|reason_key|conflicting_fact,QSAUDIT-0.1 §4.5,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-005-01-C04,QUESTIONBASE-0.1,Q-005-01,code,F20.2,classified,incorrect,RULE-REL-HARD-01,,documented_fact_conflict,,submitted_code|reason_key|conflicting_fact,QSAUDIT-0.1 §4.5,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-005-01-NOA,QUESTIONBASE-0.1,Q-005-01,none_of_above,,classified,incorrect,RULE-NOA-01,,displayed_accepted_response_exists,,displayed_accepted_response_exists|reference_code,QSAUDIT-0.1 §4.5; RULEBASE-0.2 §5.6,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-005-02-C01,QUESTIONBASE-0.1,Q-005-02,code,G24.0,classified,correct,RULE-CORRECT-01,,accepted_response,,accepted_code,QSAUDIT-0.1 §4.5,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-005-02-C02,QUESTIONBASE-0.1,Q-005-02,code,G24.9,classified,suboptimal,RULE-REL-SPEC-01,,supported_specificity_not_used,G24.0,submitted_code|improvement_code|supported_detail,QSAUDIT-0.1 §4.5,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-005-02-C03,QUESTIONBASE-0.1,Q-005-02,code,G25.4,classified,incorrect,RULE-REL-HARD-01,,documented_fact_conflict,,submitted_code|reason_key|conflicting_fact,QSAUDIT-0.1 §4.5,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-005-02-C04,QUESTIONBASE-0.1,Q-005-02,code,G25.1,classified,incorrect,RULE-REL-HARD-01,,documented_fact_conflict,,submitted_code|reason_key|conflicting_fact,QSAUDIT-0.1 §4.5,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-005-02-NOA,QUESTIONBASE-0.1,Q-005-02,none_of_above,,classified,incorrect,RULE-NOA-01,,displayed_accepted_response_exists,,displayed_accepted_response_exists|reference_code,QSAUDIT-0.1 §4.5; RULEBASE-0.2 §5.6,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-005-03-C01,QUESTIONBASE-0.1,Q-005-03,code,L40.0,classified,correct,RULE-CORRECT-01,,accepted_response,,accepted_code,QSAUDIT-0.1 §4.5,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-005-03-C02,QUESTIONBASE-0.1,Q-005-03,code,L40.9,classified,suboptimal,RULE-REL-SPEC-01,,supported_specificity_not_used,L40.0,submitted_code|improvement_code|supported_detail,QSAUDIT-0.1 §4.5,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-005-03-C03,QUESTIONBASE-0.1,Q-005-03,code,L40.4,classified,incorrect,RULE-REL-HARD-01,,documented_fact_conflict,,submitted_code|reason_key|conflicting_fact,QSAUDIT-0.1 §4.5,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-005-03-C04,QUESTIONBASE-0.1,Q-005-03,code,L40.1,classified,incorrect,RULE-REL-HARD-01,,documented_fact_conflict,,submitted_code|reason_key|conflicting_fact,QSAUDIT-0.1 §4.5,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
RCBASE-0.3,RC-L-005-03-NOA,QUESTIONBASE-0.1,Q-005-03,none_of_above,,classified,incorrect,RULE-NOA-01,,displayed_accepted_response_exists,,displayed_accepted_response_exists|reference_code,QSAUDIT-0.1 §4.5; RULEBASE-0.2 §5.6,,,forward_specification_derived_human_oracle_audit_confirmed_against_qsaudit_0_1
